2021-11-11 21:31:02,627 p=25093 u=rob n=ansible | PLAY [prepare node and Lab] ***************************************************************************************************************************************************************************
2021-11-11 21:32:24,331 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2039, in run
2021-11-11 21:32:24,332 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |     self._check_banner()
2021-11-11 21:32:24,332 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2215, in _check_banner
2021-11-11 21:32:24,332 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] |     raise SSHException(
2021-11-11 21:32:24,332 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
2021-11-11 21:32:24,332 p=25667 u=rob n=p=25667 u=rob | paramiko [PE1] | 
2021-11-11 21:32:24,340 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | Exception: Error reading SSH protocol banner
2021-11-11 21:32:24,340 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | Exception: Error reading SSH protocol banner
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] | Traceback (most recent call last):
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] | Traceback (most recent call last):
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2211, in _check_banner
2021-11-11 21:32:24,341 p=25668 u=rob n=p=25668 u=rob | paramiko [PE2] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2211, in _check_banner
2021-11-11 21:32:24,341 p=25669 u=rob n=p=25669 u=rob | paramiko [PE3] |     buf = self.packetizer.readline(timeout)
